entry_time,exit_time,direction,contracts,entry_price,exit_price,stop_price,exit_reason,pnl_gross,pnl_net,hold_bars
2014-12-16 00:00:00+00:00,2014-12-17 00:00:00+00:00,LONG,1,1230.1509070994884,1229.8981621179692,1192.5734877497987,EOD_FLAT,-2.53,-6.78,1
2014-12-17 00:00:00+00:00,2014-12-18 00:00:00+00:00,LONG,1,1221.3212046678357,1235.344183934033,1197.3838166101755,EOD_FLAT,140.23,135.98,1
2014-12-18 00:00:00+00:00,2014-12-19 00:00:00+00:00,LONG,1,1232.4502937215946,1238.2975429509167,1203.7901322178695,EOD_FLAT,58.47,54.22,1
2014-12-19 00:00:00+00:00,2014-12-19 00:00:00+00:00,SHORT,1,1237.7767633803564,1208.7510835900816,1208.6510835900817,STOP_HIT,290.26,286.01,0
2014-12-22 00:00:00+00:00,2014-12-23 00:00:00+00:00,LONG,1,1234.830858047066,1201.4125273610282,1194.0829648881713,EOD_FLAT,-334.18,-338.43,1
2014-12-23 00:00:00+00:00,2014-12-24 00:00:00+00:00,LONG,1,1223.362146348047,1202.0979603370454,1168.7878521732273,EOD_FLAT,-212.64,-216.89,1
2014-12-24 00:00:00+00:00,2014-12-25 00:00:00+00:00,LONG,1,1194.2988835918952,1197.6121925150856,1170.0709071169451,EOD_FLAT,33.13,28.88,1
2014-12-25 00:00:00+00:00,2014-12-26 00:00:00+00:00,LONG,1,1200.3512346047648,1202.2770171538984,1167.1507934535448,EOD_FLAT,19.26,15.01,1
2014-12-26 00:00:00+00:00,2014-12-29 00:00:00+00:00,LONG,1,1199.3775327156434,1209.3601504667372,1173.3343999314131,EOD_FLAT,99.83,95.58,3
2014-12-29 00:00:00+00:00,2014-12-29 00:00:00+00:00,SHORT,1,1205.5261314637592,1180.9822775431542,1180.8822775431543,STOP_HIT,245.44,241.19,0
2015-01-21 00:00:00+00:00,2015-01-22 00:00:00+00:00,LONG,1,1188.8581713555332,1159.4676907437777,1131.1432067964877,EOD_FLAT,-293.9,-298.15,1
2015-01-22 00:00:00+00:00,2015-01-23 00:00:00+00:00,LONG,1,1170.671730787356,1166.7522521361507,1124.9537054064344,EOD_FLAT,-39.19,-43.44,1
2015-01-23 00:00:00+00:00,2015-01-26 00:00:00+00:00,LONG,1,1159.6980551594813,1164.1789375076708,1132.7727665463167,EOD_FLAT,44.81,40.56,3
2015-01-26 00:00:00+00:00,2015-01-27 00:00:00+00:00,LONG,1,1166.5114131017795,1166.2123160235515,1131.136303791426,EOD_FLAT,-2.99,-7.24,1
2015-01-27 00:00:00+00:00,2015-01-28 00:00:00+00:00,LONG,1,1168.4380318830126,1176.8095246338332,1135.024224619924,EOD_FLAT,83.71,79.46,1
2015-01-28 00:00:00+00:00,2015-01-28 00:00:00+00:00,SHORT,1,1162.4742021719658,1144.8844420886362,1144.7844420886363,STOP_HIT,175.9,171.65,0
2015-02-10 00:00:00+00:00,2015-02-11 00:00:00+00:00,LONG,1,1166.3566155450449,1172.021905073226,1134.2744362102437,EOD_FLAT,56.65,52.4,1
2015-02-11 00:00:00+00:00,2015-02-12 00:00:00+00:00,LONG,1,1164.7966939607718,1188.8049567671767,1142.6610313932624,EOD_FLAT,240.08,235.83,1
2015-02-12 00:00:00+00:00,2015-02-12 00:00:00+00:00,SHORT,2,1167.1101960609485,1156.9995539130186,1156.8995539130187,STOP_HIT,202.21,193.71,0
2015-04-06 00:00:00+00:00,2015-04-07 00:00:00+00:00,LONG,1,1174.221961925358,1160.4081551991792,1129.0592569805488,EOD_FLAT,-138.14,-142.39,1
2015-04-07 00:00:00+00:00,2015-04-07 00:00:00+00:00,SHORT,1,1168.8093605462464,1125.685418171875,1125.585418171875,STOP_HIT,431.24,426.99,0
2015-05-25 00:00:00+00:00,2015-05-26 00:00:00+00:00,LONG,1,1204.391559002497,1203.9143806074187,1159.5717854560291,EOD_FLAT,-4.77,-9.02,1
2015-05-26 00:00:00+00:00,2015-05-27 00:00:00+00:00,LONG,1,1192.338476505204,1212.9251520881767,1172.0042802085168,EOD_FLAT,205.87,201.62,1
2015-05-27 00:00:00+00:00,2015-05-27 00:00:00+00:00,SHORT,1,1206.0673160410356,1181.1175270721133,1181.0175270721134,STOP_HIT,249.5,245.25,0
2015-07-21 00:00:00+00:00,2015-07-22 00:00:00+00:00,LONG,1,1200.1424656993227,1171.769251577404,1144.2118437638287,EOD_FLAT,-283.73,-287.98,1
2015-07-22 00:00:00+00:00,2015-07-22 00:00:00+00:00,SHORT,1,1176.637336755564,1137.993680349901,1137.8936803499012,STOP_HIT,386.44,382.19,0
2016-10-17 00:00:00+00:00,2016-10-18 00:00:00+00:00,LONG,1,1075.377842019792,1080.2915722846826,1047.2359237765918,EOD_FLAT,49.14,44.89,1
2016-10-18 00:00:00+00:00,2016-10-18 00:00:00+00:00,SHORT,2,1071.1069464779455,1054.6650428214023,1054.5650428214024,STOP_HIT,328.84,320.34,0
2017-11-09 00:00:00+00:00,2017-11-10 00:00:00+00:00,LONG,1,1125.0817463855576,1108.2493952100783,1083.9386679034112,EOD_FLAT,-168.32,-172.57,1
2017-11-10 00:00:00+00:00,2017-11-13 00:00:00+00:00,LONG,1,1111.807456781266,1108.5200545701555,1080.50397297727,EOD_FLAT,-32.87,-37.12,3
2017-11-13 00:00:00+00:00,2017-11-14 00:00:00+00:00,LONG,1,1113.7301849289515,1114.942666700548,1081.6899917056628,EOD_FLAT,12.12,7.87,1
2017-11-14 00:00:00+00:00,2017-11-15 00:00:00+00:00,LONG,1,1110.0857505397585,1119.4111185120935,1088.270207860001,EOD_FLAT,93.25,89.0,1
2017-11-15 00:00:00+00:00,2017-11-16 00:00:00+00:00,LONG,1,1112.078714181044,1116.0336432930742,1093.0368915177892,EOD_FLAT,39.55,35.3,1
2017-11-16 00:00:00+00:00,2017-11-17 00:00:00+00:00,LONG,1,1117.0982140935969,1125.5278745640428,1091.10782061783,EOD_FLAT,84.3,80.05,1
2017-11-17 00:00:00+00:00,2017-11-17 00:00:00+00:00,SHORT,2,1113.987317446722,1100.0166341261756,1099.9166341261757,STOP_HIT,279.41,270.91,0
2017-12-01 00:00:00+00:00,2017-12-04 00:00:00+00:00,LONG,1,1167.3133967917079,1129.8724899047954,1114.995190666254,EOD_FLAT,-374.41,-378.66,3
